SCHOOLID,Lat,Long,policy_implementation
609978,41.7075301821,-87.6046595946,NA
609979,41.8395948563,-87.6403407501,NA
609981,41.808175,-87.7457260569,NA
609983,41.8071115392,-87.6733639294,NA
609988,41.9589887977,-87.7156323718,NA
609990,41.8668745062,-87.6286150038,NA
609993,41.8097698312,-87.6722182677,NA
609994,41.9703077971,-87.7103610874,NA
609995,41.983671696,-87.7791230521,NA
609996,41.8379999509,-87.6537910563,NA
609997,41.7937876494,-87.6497953555,NA
610000,41.893612,-87.759398,NA
610002,41.7333371195,-87.5682647267,NA
610003,41.7424516273,-87.6536334471,NA
610006,41.766785,-87.719541,NA
610009,41.8712548243,-87.6533655527,NA
610010,41.9392467535,-87.6758464593,NA
610011,41.9846407763,-87.7005294202,NA
610013,41.858821441,-87.6622086131,NA
610015,41.8580647771,-87.6523015944,NA
610016,41.7252628211,-87.6772691287,NA
610017,41.8479132803,-87.6973148122,NA
610019,41.7764528106,-87.6408920253,NA
610021,41.9045027645,-87.7142336467,NA
610022,42.00364,-87.668222,NA
610026,41.7897225968,-87.7791785897,NA
610027,41.7236263955,-87.6395573445,NA
610029,41.9088853384,-87.665129993,NA
610030,41.7979744383,-87.602480982,NA
610032,41.719264508,-87.6524996522,NA
610033,41.913899533,-87.6375648638,NA
610038,41.9245248164,-87.6444973039,NA
610039,41.9400085352,-87.7026714149,NA
610040,41.918813664300004,-87.748551751,NA
610041,41.931762,-87.795604,NA
610043,41.912718,-87.783919,NA
610044,41.9064921541,-87.7102163813,NA
610046,41.9341914722,-87.7772109391,NA
610047,41.7595476525,-87.5907490426,NA
610048,41.9082468824,-87.6398265135,NA
610052,41.748274,-87.574816,NA
610053,41.773881,-87.69703,NA
610054,41.716588,-87.552483,NA
610057,41.7809034369,-87.6921517227,NA
610059,41.9232035224,-87.6572874391,NA
610060,41.8742722041,-87.6609838426,NA
610062,41.8299923303,-87.6411392583,NA
610063,41.842267,-87.7063,NA
610066,41.7345493266,-87.6192510722,NA
610068,41.923955,-87.761515,NA
610073,41.892082,-87.683185,NA
610074,41.9299886036,-87.7192237512,NA
610076,41.9125048321,-87.6969781149,NA
610078,41.949003,-87.651573,NA
610081,41.8444,-87.64134,NA
610082,41.6957331315,-87.705846547,NA
610083,41.9701248828,-87.7896303313,NA
610084,41.6971428941,-87.6972778577,NA
610086,41.701952,-87.647652,NA
610087,41.776556,-87.790604,NA
610088,41.9209096496,-87.7218881442,NA
610089,41.9500777536,-87.7168318549,NA
610090,41.798535,-87.59334,NA
610091,41.6648727374,-87.6389943131,NA
610092,41.891809751,-87.7479358786,NA
610093,41.7384060373,-87.6209700855,NA
610094,41.9416365548,-87.6445612217,NA
610095,41.9139197803,-87.6459896196,NA
610096,41.797714,-87.689139,NA
610097,41.9195808829,-87.7314568264,NA
610098,41.906155,-87.729955,NA
610099,41.9881325587,-87.8029541807,NA
610100,41.906906498,-87.7324798201,NA
610101,41.899976,-87.629297,NA
610102,41.75467,-87.645469,NA
610103,41.768602,-87.572806,NA
610104,41.9937629089,-87.7931081147,NA
610105,41.9785009928,-87.8120172663,NA
610106,41.9001396559,-87.7312605958,NA
610109,41.7428493857,-87.705785722,NA
610111,41.973288838,-87.7392497117,NA
610112,41.7707797959,-87.6340858564,NA
610117,41.7868947931,-87.7327031135,NA
610120,41.7878715357,-87.7192154676,NA
610121,41.8715949314,-87.6836523579,NA
610122,41.9834557923,-87.665850037,NA
610127,41.981557,-87.712583,NA
610128,41.7066023113,-87.6476137784,NA
610129,41.8529,-87.683291,NA
610130,41.7403127995,-87.6078902624,NA
610131,41.860231464,-87.6925249792,NA
610132,41.70263,-87.606419,NA
610135,41.9569601994,-87.7610063875,NA
610136,41.9288136632,-87.6695269024,NA
610137,41.965619,-87.772414,NA
610138,41.9184588451,-87.6838005623,NA
610139,41.6888189011,-87.6094675717,NA
610141,41.9607456926,-87.6709224192,NA
610142,41.7923473454,-87.5947887344,NA
610143,41.8041463543,-87.6049248358,NA
610144,41.941066552,-87.7195400122,NA
610145,41.9430182808,-87.7690193654,NA
610147,42.015265,-87.697185,NA
610148,41.8071423339,-87.666073605,NA
610155,41.9911547553,-87.7459202071,NA
610158,41.9141506301,-87.7987207051,NA
610159,41.941677604,-87.7321787777,NA
610165,41.9304025462,-87.7612272035,NA
610167,41.810333,-87.668772,NA
610170,41.8110686097,-87.7041985906,NA
610171,41.7317169166,-87.5527879444,NA
610175,41.8042665798,-87.5939042774,NA
610176,41.6909188771,-87.658669052,NA
610177,41.8790751072,-87.6594182664,NA
610178,41.7169881777,-87.5969684966,NA
610179,41.958868,-87.781975,NA
610180,41.865351,-87.653445,NA
610182,41.993942,-87.724043,NA
610185,41.7471068794,-87.7316656849,NA
610188,41.6964954764,-87.640010208,NA
610191,41.9953581506,-87.6848295521,NA
610192,41.9119106401,-87.7133170224,NA
610193,41.7438281019,-87.5429642457,NA
610194,41.8708026873,-87.7335110495,NA
610195,41.7114444429,-87.6768577869,NA
610196,41.989139,-87.658296000000007,NA
610197,41.892377177,-87.6737219208,NA
610198,41.71547,-87.532971,NA
610199,41.677505,-87.658111,NA
610200,41.733324,-87.54428,NA
610201,41.9485438735,-87.7776307199,NA
610203,41.7875226654,-87.7082158444,NA
610206,41.799046,-87.758928,NA
610207,41.720817,-87.665559,NA
610209,41.971634,-87.724605,NA
610212,41.9711409287,-87.7097007454,NA
610215,41.8409294756,-87.705063499,NA
610216,41.8548351529,-87.6481228707,NA
610217,41.843979426,-87.635392477,NA
610219,41.688131,-87.536015,NA
610220,41.964365,-87.691333,NA
610221,41.8699158585,-87.7275243748,NA
610225,41.6839064133,-87.6554204209,NA
610227,41.8400798358,-87.7255823306,NA
610228,41.8504534515,-87.6733908646,NA
610229,41.907053,-87.677761,NA
610230,42.0074906702,-87.7783448617,NA
610231,41.8527997703,-87.6293083298,NA
610234,41.9150378919,-87.700317043,NA
610235,41.9067905746,-87.767142846,NA
610237,41.8091347577,-87.6271368054,NA
610246,41.7984644188,-87.6257282441,NA
610248,41.9421377375,-87.7764315436,NA
610249,41.794048,-87.690261,NA
610250,41.9013896989,-87.6337299209,NA
610254,41.858883,-87.715744,NA
610256,41.8173367294,-87.5990993607,NA
610279,41.7606726356,-87.6067910349,NA
610281,41.7603154706,-87.5568187037,NA
610282,41.8977916292,-87.7467304019,NA
610284,42.0077025709,-87.6731683286,NA
610287,41.7423505671,-87.709609682,NA
610291,41.775305,-87.728884,NA
610295,41.681031,-87.646994,NA
610298,41.7471851186,-87.6280769919,NA
